Vreme : 9/3/2023 6:17:51 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:17:52 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:17:53 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:17:54 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:17:55 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:17:56 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:17:57 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:17:58 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:17:59 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:00 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:01 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:02 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:03 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:04 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:05 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:06 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:07 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:08 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:09 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:10 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:50 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:51 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:52 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
